"","countryname","countrycode","stay_home","stay_home_flag","date_start","date_end"
"170","Falkland Islands","FLK","1_recommended","1_general",2020-03-26,2020-05-10
"171","Falkland Islands","FLK","0_no_measures","missing",2020-05-11,2020-05-31
"172","Fiji","FJI","0_no_measures","missing",2020-01-01,2020-03-18
"173","Fiji","FJI","2_required_exceptions","0_targeted",2020-03-19,2020-03-29
"174","Fiji","FJI","2_required_exceptions","1_general",2020-03-30,2020-05-31
"175","Finland","FIN","0_no_measures","missing",2020-01-01,2020-03-15
"176","Finland","FIN","1_recommended","1_general",2020-03-16,2020-05-31
"177","France","FRA","0_no_measures","missing",2020-01-01,2020-03-16
"178","France","FRA","2_required_exceptions","1_general",2020-03-17,2020-05-10
"179","France","FRA","1_recommended","1_general",2020-05-11,2020-05-31
"180","Gabon","GAB","0_no_measures","missing",2020-01-01,2020-03-20
"181","Gabon","GAB","1_recommended","1_general",2020-03-21,2020-04-09
"182","Gabon","GAB","2_required_exceptions","0_targeted",2020-04-10,2020-05-10
"183","Gabon","GAB","1_recommended","1_general",2020-05-11,2020-05-31
"184","Gambia","GMB","0_no_measures","missing",2020-01-01,2020-03-17
"185","Gambia","GMB","1_recommended","1_general",2020-03-18,2020-05-31
"186","Georgia","GEO","0_no_measures","missing",2020-01-01,2020-03-08
"187","Georgia","GEO","1_recommended","1_general",2020-03-09,2020-03-22
"188","Georgia","GEO","2_required_exceptions","0_targeted",2020-03-23,2020-03-25
"189","Georgia","GEO","2_required_exceptions","1_general",2020-03-26,2020-03-30
"190","Georgia","GEO","3_required","1_general",2020-03-31,2020-05-22
"191","Georgia","GEO","1_recommended","1_general",2020-05-23,2020-05-28
"192","Georgia","GEO","2_required_exceptions","0_targeted",2020-05-29,2020-05-31
"193","Germany","DEU","0_no_measures","missing",2020-01-01,2020-03-08
"194","Germany","DEU","1_recommended","1_general",2020-03-09,2020-03-20
"195","Germany","DEU","2_required_exceptions","0_targeted",2020-03-21,2020-05-05
"196","Germany","DEU","0_no_measures","missing",2020-05-06,2020-05-31
"197","Ghana","GHA","0_no_measures","missing",2020-01-01,2020-03-29
"198","Ghana","GHA","2_required_exceptions","1_general",2020-03-30,2020-04-17
"199","Ghana","GHA","2_required_exceptions","0_targeted",2020-04-18,2020-04-18
"200","Ghana","GHA","0_no_measures","missing",2020-04-19,2020-05-31
"201","Gibraltar","GIB","0_no_measures","missing",2020-01-01,2020-03-16
"202","Gibraltar","GIB","3_required","1_general",2020-03-17,2020-04-28
"203","Gibraltar","GIB","2_required_exceptions","1_general",2020-04-29,2020-05-21
"204","Gibraltar","GIB","0_no_measures","missing",2020-05-22,2020-05-31
"205","Greece","GRC","0_no_measures","missing",2020-01-01,2020-03-22
"206","Greece","GRC","2_required_exceptions","1_general",2020-03-23,2020-05-29
"207","Greece","GRC","1_recommended","1_general",2020-05-30,2020-05-31
"208","Greenland","GRL","0_no_measures","missing",2020-01-01,2020-03-17
"209","Greenland","GRL","1_recommended","1_general",2020-03-18,2020-05-31
"210","Guam","GUM","0_no_measures","missing",2020-01-01,2020-03-15
"211","Guam","GUM","1_recommended","1_general",2020-03-16,2020-05-31
"212","Guatemala","GTM","0_no_measures","missing",2020-01-01,2020-03-21
"213","Guatemala","GTM","2_required_exceptions","1_general",2020-03-22,2020-05-31
"214","Guinea","GIN","0_no_measures","missing",2020-01-01,2020-03-29
"215","Guinea","GIN","2_required_exceptions","1_general",2020-03-30,2020-05-31
"216","Guyana","GUY","0_no_measures","missing",2020-01-01,2020-03-25
"217","Guyana","GUY","1_recommended","1_general",2020-03-26,2020-04-02
"218","Guyana","GUY","2_required_exceptions","1_general",2020-04-03,2020-05-31
"219","Haiti","HTI","0_no_measures","missing",2020-01-01,2020-03-18
"220","Haiti","HTI","1_recommended","1_general",2020-03-19,2020-05-31
